Title: Precursors prior to Type IIn supernova explosions are common: 
       precursor rates, properties, and correlations 
Authors: Ofek E.O., Sullivan M., Shaviv N.J., Steinbok A., Arcavi I., 
         Gal-Yam A., Tal D., Kulkarni S.R., Nugent P.E., Ben-Ami S., 
         Kasliwal M.M., Cenko S.B., Laher R., Surace J., Bloom J.S., 
         Filippenko A.V., Silverman J.M., Yaron O. 
Table: SN Observations
================================================================================
Byte-by-byte Description of file: apj496516t2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1-  9 A9     ---     SN      Supernova identifier
  11- 11 A1     ---     Filter  Filter used in the observation
  13- 22 F10.5  d       Time    Time relative to t_rise
SN2011cc  R -258.78200 55365.21800 83.151   -0.307 21.027   -288.6    81.7 
SN2011cc  R -258.73800 55365.26200 20.783    0.324 20.904    306.9    91.5 
SN2011cc  R -257.70600 55366.29400 82.230   -0.840 20.856   -123.6    95.6 
SN2011cc  R -257.62900 55366.37100 82.331   -0.711 20.936   -135.6    88.8 
SN2011cc  R -256.61600 55367.38400 82.141   -0.685 21.167   -113.9    71.8 
SN2011cc  R -256.57300 55367.42700 80.732   -2.612 21.122    -31.1    74.8 
SN2011cc  R -254.80500 55369.19500 83.208   -0.416 20.641   -304.3   116.5 
SN2011cc  R -254.75700 55369.24300 82.611   -0.658 20.741   -175.5   106.3 
SN2011cc  R -248.60400 55375.39600 21.202    0.522 20.805    208.6   100.2 
SN2011cc  R -248.54600 55375.45400 80.132   -6.273 20.771    -17.9   103.4 
SN2011cc  R -247.59500 55376.40500 23.340    3.881 20.765     29.1   104.0 
SN2011cc  R -247.55000 55376.45000 20.018    0.278 20.306    620.5   158.6 
SN2011cc  R -245.70500 55378.29500 20.618    0.314 20.774    357.0   103.1 
SN2011cc  R -245.63600 55378.36400 83.079   -0.392 20.835   -270.1    97.5 
SN2011cc  R -241.63000 55382.37000 82.984   -0.475 20.721   -247.5   108.3 
SN2011cc  R -241.58700 55382.41300 82.847   -0.360 21.159   -218.1    72.3 
SN2011cc  R -240.63300 55383.36700 82.040   -1.147 20.708   -103.8   109.6 
SN2011cc  R -240.58900 55383.41100 83.500   -0.270 20.817   -398.1    99.1 
SN2011cc  R -238.68700 55385.31300 23.082    2.084 21.182     36.9    70.8 
SN2011cc  R -238.63100 55385.36900 83.306   -0.334 20.780   -333.0   102.5 
SN2011cc  R -237.64300 55386.35700 83.053   -0.397 20.846   -263.7    96.5 
SN2011cc  R -237.59900 55386.40100 21.463    0.558 20.993    164.0    84.3 
SN2011cc  R -222.70100 55401.29900 82.104   -1.249 20.551   -110.1   126.6 
SN2011cc  R -222.64200 55401.35800 80.455   -5.691 20.554    -24.1   126.3 
SN2011cc  R  -51.44300 55572.55700 82.900   -1.164 19.833   -229.0   245.4 
SN2011cc  R  -44.47900 55579.52100 22.976    2.863 20.731     40.7   107.3 
SN2011cc  R  -41.43100 55582.56900 82.750   -0.655 20.607   -199.6   120.3 
SN2011cc  R  -40.55300 55583.44700 19.609    0.223 20.136    904.7   185.6 
SN2011cc  R  -38.46400 55585.53600 82.078   -1.237 20.589   -107.4   122.3 
SN2011cc  R  -37.56800 55586.43200 83.614   -0.406 20.261   -442.3   165.4 
SN2011cc  R  -36.45000 55587.55000 84.087   -0.257 20.284   -683.6   161.9 
SN2011cc  R  -34.57600 55589.42400 18.536    0.121 19.726   2430.0   270.8 
SN2011cc  R  -34.52400 55589.47600 82.774   -0.677 20.546   -204.0   127.2 
SN2011cc  R  -33.54500 55590.45500 18.576    0.154 19.504   2342.1   332.0 
SN2011cc  R  -33.50200 55590.49800 25.844   41.081 20.707      2.9   109.7 
SN2011cc  R  -30.42400 55593.57600 19.403    0.280 19.681   1093.9   282.1 
SN2011cc  R  -20.58900 55603.41100 20.337    0.460 20.078    462.7   195.8 
SN2011cc  R  -20.54500 55603.45500 19.748    0.209 20.346    796.1   152.9 
SN2011cc  R  -19.57300 55604.42700 82.991   -0.474 20.716   -249.2   108.8 
SN2011cc  R  -19.52800 55604.47200 83.269   -0.357 20.747   -321.8   105.7 
SN2011cc  R  -18.54700 55605.45300 20.157    0.198 20.815    545.8    99.3 
SN2011cc  R  -18.50200 55605.49800 81.343   -1.756 20.942    -54.6    88.3 
SN2011cc  R  -17.47600 55606.52400 20.882    0.486 20.563    280.0   125.2 
SN2011cc  R  -17.43200 55606.56800 82.541   -0.746 20.674   -164.6   113.1 
SN2011cc  R    9.52000 55633.52000 18.959    0.057 20.972   1646.5    85.9 
SN2011cc  R   10.30100 55634.30100 18.884    0.092 20.371   1763.4   149.5 
SN2011cc  R   11.47400 55635.47400 18.850    0.068 20.661   1819.4   114.4 
SN2011cc  R   11.47500 55635.47500 18.747    0.066 20.596   2000.0   121.5 
SN2011cc  R   13.31900 55637.31900 18.457    0.062 20.377   2614.2   148.6 
SN2011cc  R   13.36200 55637.36200 18.481    0.063 20.383   2555.4   147.8 
SN2011cc  R   14.48900 55638.48900 18.610    0.073 20.350   2269.0   152.3 
SN2011cc  R   14.49100 55638.49100 18.626    0.084 20.217   2236.4   172.2 
SN2011cc  R   28.44800 55652.44800 18.255    0.034 20.837   3147.2    97.3 
SN2011cc  R   28.49100 55652.49100 18.115    0.027 20.918   3579.8    90.3 
SN2011cc  R   39.36300 55663.36300 17.761    0.027 20.578   4962.0   123.5 
SN2011cc  R   39.40700 55663.40700 17.913    0.029 20.636   4311.5   117.1 
SN2011cc  R   42.31700 55666.31700 17.710    0.024 20.671   5200.8   113.4 
SN2011cc  R   42.37000 55666.37000 17.747    0.024 20.676   5024.1   112.8 
SN2011cc  R   55.49100 55679.49100 17.358    0.019 20.535   7193.4   128.5 
SN2011cc  R   56.46200 55680.46200 17.278    0.018 20.510   7741.1   131.5 
SN2011cc  R   69.42000 55693.42000 17.093    0.015 20.524   9181.8   129.8 
SN2011cc  R   69.46300 55693.46300 17.134    0.017 20.432   8840.7   141.3 
SN2011cc  R   78.38900 55702.38900 17.089    0.021 20.179   9215.7   178.4 
SN2011cc  R   78.43300 55702.43300 17.070    0.017 20.366   9372.7   150.2 
SN2011cc  R   82.43600 55706.43600 17.071    0.017 20.386   9364.7   147.4 
SN2011cc  R   85.39200 55709.39200 17.025    0.017 20.340   9769.3   153.8 
SN2011cc  R   85.44800 55709.44800 17.026    0.016 20.443   9764.2   139.9 
SN2011cc  R   97.45000 55721.45000 16.945    0.015 20.389  10516.4   147.0 
SN2011cc  R   98.19400 55722.19400 16.977    0.013 20.585  10212.6   122.7 
SN2011cc  R   98.23800 55722.23800 16.999    0.016 20.352  10011.1   152.1 
SN2011cc  R  101.20100 55725.20100 16.948    0.014 20.496  10492.0   133.2 
SN2011cc  R  101.24400 55725.24400 17.000    0.015 20.474  10001.1   135.9 
SN2011cc  R  106.35200 55730.35200 16.925    0.013 20.566  10713.2   124.9 
SN2011cc  R  109.29900 55733.29900 16.928    0.014 20.445  10686.3   139.6 
SN2011cc  R  109.34600 55733.34600 16.930    0.018 20.189  10667.4   176.7 
SN2011cc  R  130.20800 55754.20800 16.970    0.016 20.332  10282.4   154.9 
SN2011cc  R  130.25200 55754.25200 16.930    0.016 20.289  10664.5   161.2 
SN2011cc  R  133.32100 55757.32100 16.913    0.015 20.348  10835.6   152.7 
SN2011cc  R  133.36400 55757.36400 16.915    0.018 20.151  10817.7   183.0 
SN2011cc  R  136.39500 55760.39500 16.936    0.017 20.236  10608.9   169.3 
SN2011cc  R  158.28700 55782.28700 17.047    0.016 20.417   9580.2   143.3 
SN2011cc  R  158.34500 55782.34500 17.060    0.019 20.234   9464.4   169.5 
SN2011cc  R  166.25400 55790.25400 17.088    0.017 20.378   9217.5   148.5 
SN2011cc  R  166.29800 55790.29800 17.067    0.017 20.358   9398.2   151.3 
SN2011cc  R  392.38500 56016.38500 20.062    0.191 20.755    596.1   104.9 
SN2011cc  R  392.45700 56016.45700 19.754    0.214 20.322    791.5   156.3 
SN2011cc  R  392.48700 56016.48700 20.346    0.196 21.012    458.8    82.8 
SN2011cc  R  396.25100 56020.25100 20.013    0.303 20.205    623.7   174.1 
SN2011cc  R  396.28500 56020.28500 20.181    0.419 20.023    534.3   206.0 
SN2011cc  R  396.31800 56020.31800 19.492    0.192 20.179   1007.7   178.3 
SN2011cc  R  398.23100 56022.23100 19.225    0.286 19.482   1288.4   338.8 
SN2011cc  R  398.28300 56022.28300 19.519    0.180 20.279    982.3   162.6 
SN2011cc  R  398.31600 56022.31600 20.430    0.777 19.601    424.5   303.7 
SN2011cc  R  400.33400 56024.33400 19.291    0.589 18.763   1212.1   657.2 
SN2011cc  R  400.36600 56024.36600 18.501    0.520 18.108   2508.8  1201.7 
SN2011cc  R  400.39900 56024.39900 19.058    0.362 19.057   1502.5   501.2 
SN2011cc  R  402.37100 56026.37100 19.532    0.149 20.495    970.8   133.3 
SN2011cc  R  402.43200 56026.43200 19.849    0.156 20.760    725.3   104.4 
SN2011cc  R  402.46000 56026.46000 20.267    0.186 20.990    493.4    84.5 
SN2011cc  R  409.29900 56033.29900 20.150    0.163 21.015    549.6    82.6 
SN2011cc  R  409.39700 56033.39700 20.045    0.151 20.994    605.1    84.2 
SN2011cc  R  409.42800 56033.42800 20.223    0.206 20.837    513.7    97.3 
SN2011cc  R  411.40500 56035.40500 19.830    0.112 21.105    738.2    76.0 
SN2011cc  R  411.43500 56035.43500 20.365    0.221 20.901    450.7    91.7 
SN2011cc  R  411.46600 56035.46600 19.860    0.129 20.981    717.7    85.2 
SN2011cc  R  413.40400 56037.40400 19.826    0.144 20.830    740.8    97.9 
SN2011cc  R  413.43600 56037.43600 19.626    0.122 20.804    890.4   100.3 
SN2011cc  R  413.46600 56037.46600 19.665    0.123 20.839    859.2    97.1 
SN2011cc  R  417.40300 56041.40300 19.663    0.160 20.547    860.5   127.1 
SN2011cc  R  417.43300 56041.43300 19.911    0.179 20.675    684.7   113.0 
SN2011cc  R  417.46700 56041.46700 19.869    0.181 20.619    711.9   118.9 
SN2011cc  R  421.45000 56045.45000 19.939    0.157 20.849    667.2    96.2 
SN2011cc  R  421.48800 56045.48800 19.713    0.151 20.663    821.5   114.2 
SN2011cc  R  422.17000 56046.17000 19.795    0.235 20.263    762.4   165.0 
SN2011cc  R  422.20200 56046.20200 20.016    0.209 20.610    621.9   119.9 
SN2011cc  R  422.24400 56046.24400 19.721    0.140 20.753    815.5   105.1 
SN2011cc  R  424.26300 56048.26300 19.687    0.125 20.838    841.7    97.2 
SN2011cc  R  424.29400 56048.29400 19.663    0.176 20.447    860.3   139.3 
SN2011cc  R  424.33500 56048.33500 19.951    0.174 20.747    660.1   105.7 
SN2011cc  R  426.30200 56050.30200 20.085    0.237 20.547    583.6   127.1 
SN2011cc  R  426.33800 56050.33800 19.589    0.230 20.080    921.3   195.3 
SN2011cc  R  426.36800 56050.36800 20.024    0.189 20.731    617.3   107.3 
SN2011cc  R  434.37800 56058.37800 20.185    0.174 20.979    532.1    85.4 
SN2011cc  R  434.42300 56058.42300 19.745    0.168 20.580    797.7   123.3 
SN2011cc  R  434.45400 56058.45400 19.772    0.151 20.723    778.2   108.1 
SN2011cc  R  436.42000 56060.42000 20.445    0.270 20.765    418.9   104.0 
SN2011cc  R  436.45000 56060.45000 20.197    0.155 21.121    526.4    74.9 
SN2011cc  R  436.48800 56060.48800 19.381    0.105 20.725   1116.0   107.9 
SN2011cc  R  438.41700 56062.41700 20.434    0.268 20.760    423.0   104.4 
SN2011cc  R  438.44900 56062.44900 19.963    0.176 20.745    653.0   105.9 
SN2011cc  R  438.47900 56062.47900 19.636    0.141 20.662    882.0   114.3 
SN2011cc  R  441.34700 56065.34700 19.747    0.152 20.692    796.8   111.2 
SN2011cc  R  441.38900 56065.38900 20.151    0.186 20.873    549.2    94.1 
SN2011cc  R  441.41900 56065.41900 19.770    0.179 20.537    779.6   128.2 
SN2011cc  R  443.39200 56067.39200 20.455    0.274 20.756    414.9   104.8 
SN2011cc  R  443.42400 56067.42400 20.349    0.202 20.984    457.6    85.0 
SN2011cc  R  443.45600 56067.45600 19.893    0.125 21.044    696.0    80.4 
SN2011cc  R  445.42000 56069.42000 20.372    0.225 20.887    448.1    92.9 
SN2011cc  R  445.45000 56069.45000 20.371    0.234 20.844    448.5    96.7 
SN2011cc  R  445.48000 56069.48000 20.423    0.263 20.769    427.2   103.6 
SN2011cc  R  447.38700 56071.38700 20.245    0.244 20.675    503.3   113.0 
SN2011cc  R  447.41800 56071.41800 20.057    0.208 20.657    598.8   114.8 
SN2011cc  R  447.45000 56071.45000 20.114    0.192 20.802    568.2   100.5 
SN2011cc  R  451.44000 56075.44000 20.621    0.254 21.006    356.0    83.3 
SN2011cc  R  451.47000 56075.47000 20.215    0.200 20.857    517.5    95.5 
SN2011cc  R  452.21800 56076.21800 20.010    0.149 20.975    625.4    85.7 
SN2011cc  R  452.25800 56076.25800 19.904    0.161 20.780    689.6   102.5 
SN2011cc  R  452.28800 56076.28800 20.040    0.173 20.841    608.1    96.9 
SN2011cc  R  452.29100 56076.29100 20.543    0.235 21.012    382.7    82.8 
SN2011cc  R  700.48300 56324.48300 21.367    0.533 20.947    179.2    87.9 
SN2011cc  R  700.52200 56324.52200 21.270    0.514 20.889    195.9    92.7 
SN2011cc  R  700.55900 56324.55900 23.178    3.084 20.852     33.8    96.0 
SN2011cc  R  703.47400 56327.47400 21.402    0.669 20.735    173.5   106.9 
SN2011cc  R  703.51100 56327.51100 21.132    0.533 20.713    222.4   109.1 
SN2011cc  R  703.54700 56327.54700 21.439    0.630 20.838    167.6    97.2 
SN2011cc  R  704.47400 56328.47400 21.616    0.783 20.778    142.4   102.7 
SN2011cc  R  704.51100 56328.51100 20.188    0.217 20.742    530.5   106.2 
SN2011cc  R  704.54900 56328.54900 81.395   -1.787 20.871    -57.3    94.3 
SN2011cc  R  705.46900 56329.46900 20.980    0.385 20.912    255.8    90.8 
SN2011cc  R  705.50700 56329.50700 20.722    0.327 20.831    324.6    97.8 
SN2011cc  R  705.54400 56329.54400 20.847    0.384 20.785    289.1   102.1 
SN2011cc  R  706.46600 56330.46600 24.293    7.117 21.059     12.1    79.3 
SN2011cc  R  706.50400 56330.50400 22.488    1.486 20.955     63.8    87.3 
SN2011cc  R  706.54200 56330.54200 81.792   -1.114 20.987    -82.6    84.7 
SN2011cc  R  711.45200 56335.45200 82.524   -0.795 20.622   -162.0   118.6 
SN2011cc  R  711.51300 56335.51300 20.593    0.340 20.663    365.3   114.2 
SN2011cc  R  711.55800 56335.55800 21.136    0.569 20.644    221.7   116.2 
SN2011cc  R  712.46100 56336.46100 22.702    2.533 20.590     52.4   122.2 
SN2011cc  R  712.50600 56336.50600 20.934    0.404 20.816    266.9    99.2 
SN2011cc  R  712.54500 56336.54500 80.980   -3.172 20.663    -39.1   114.2 
SN2011cc  R  713.44700 56337.44700 81.960   -1.424 20.553    -96.4   126.4 
SN2011cc  R  713.52000 56337.52000 21.843    0.935 20.813    115.6    99.5 
SN2011cc  R  713.55700 56337.55700 20.252    0.215 20.818    500.2    99.0 
SN2011cc  R  714.45800 56338.45800 20.138    0.466 19.864    555.5   238.4 
SN2011cc  R  714.51200 56338.51200 21.101    0.578 20.593    228.8   121.8 
SN2011cc  R  714.56300 56338.56300 22.435    1.480 20.906     67.0    91.3 
SN2011cc  R  715.52900 56339.52900 24.812   19.418 20.489      7.5   134.1 
SN2011cc  R  715.56000 56339.56000 20.672    0.397 20.571    339.7   124.3 
SN2011cc  R  716.51900 56340.51900 21.118    0.430 20.930    225.3    89.3 
SN2011cc  R  716.54800 56340.54800 20.801    0.272 21.112    301.7    75.5 
SN2011cc  R  717.52600 56341.52600 21.748    0.738 20.975    126.1    85.7 
SN2011cc  R  717.55700 56341.55700 21.795    0.876 20.836    120.8    97.4 
SN2011cc  g  -61.49500 55562.50500 82.128   -1.135 20.631   -112.5   117.6 
SN2011cc  g  -52.49800 55571.50200 25.320   23.592 20.785      4.7   102.1 
SN2011cc  g  -52.49600 55571.50400 19.886    0.180 20.645    700.8   116.1 
SN2011cc  g  -27.43300 55596.56700 83.110   -0.527 20.483   -278.0   134.8 
SN2011cc  g   65.49700 55689.49700 17.399    0.024 20.324   6923.2   156.1 
SN2011cc  g   89.46200 55713.46200 17.349    0.013 20.965   7253.1    86.5 
SN2011cc  g   90.41400 55714.41400 17.305    0.015 20.730   7550.5   107.4 
SN2011cc  g   90.45900 55714.45900 17.314    0.015 20.738   7490.5   106.6 
SN2011cc  g   93.36100 55717.36100 17.353    0.012 21.044   7224.6    80.4 
SN2011cc  g   93.41800 55717.41800 17.278    0.011 21.105   7738.7    76.0 
SN2011cc  g   96.34900 55720.34900 17.311    0.014 20.825   7509.6    98.4 
SN2011cc  g   96.46900 55720.46900 17.262    0.015 20.752   7854.3   105.2 
SN2011cc  g  113.22400 55737.22400 17.289    0.013 20.863   7665.1    95.0 
SN2011cc  g  113.26800 55737.26800 17.276    0.014 20.790   7752.9   101.6 
SN2011cc  g  116.23400 55740.23400 17.273    0.010 21.133   7777.6    74.1 
SN2011cc  g  116.28000 55740.28000 17.299    0.012 21.020   7590.2    82.2 
SN2011cc  g  119.20500 55743.20500 17.290    0.012 20.951   7657.8    87.6 
SN2011cc  g  119.24900 55743.24900 17.296    0.014 20.828   7611.7    98.1 
SN2011cc  g  122.33800 55746.33800 17.294    0.013 20.880   7625.4    93.5 
SN2011cc  g  122.38300 55746.38300 17.260    0.012 20.975   7873.1    85.7 
SN2011cc  g  173.18900 55797.18900 17.646    0.014 21.204   5517.9    69.4 
SN2011cc  g  173.23300 55797.23300 17.625    0.014 21.134   5623.9    74.0 
SN2011cc  g  176.26900 55800.26900 17.677    0.015 21.107   5362.2    75.9 
SN2011cc  g  182.15600 55806.15600 17.741    0.019 20.961   5055.5    86.8 
SN2011cc  g  182.19900 55806.19900 17.707    0.017 21.056   5216.6    79.5 
SN2011cc  g  207.13700 55831.13700 18.049    0.023 21.031   3805.0    81.4 
SN2011cc  g  207.18000 55831.18000 17.925    0.028 20.721   4265.3   108.3 
SN2011fx  R -319.73900 55460.26100 81.706   -1.151 21.037    -76.3    80.9 
SN2011fx  R -319.67400 55460.32600 22.065    0.759 21.262     94.2    65.8 
SN2011fx  R -313.84900 55466.15100 82.101   -1.171 20.625   -109.7   118.3 
SN2011fx  R -313.80100 55466.19900 21.985    1.080 20.799    101.4   100.8 
SN2011fx  R -313.75100 55466.24900 24.556   11.237 20.826      9.5    98.3 
SN2011fx  R -310.79900 55469.20100 79.661   -6.039 21.283    -11.6    64.5 
SN2011fx  R -310.74700 55469.25300 78.981  -19.093 20.714     -6.2   109.0 
SN2011fx  R -307.66800 55472.33200 22.512    0.989 21.421     62.4    56.8 
SN2011fx  R -307.62400 55472.37600 22.937    1.415 21.456     42.2    55.0 
SN2011fx  R -301.59300 55478.40700 81.901   -0.981 21.016    -91.3    82.5 
SN2011fx  R -301.54600 55478.45400 21.652    0.580 21.140    137.8    73.6 
SN2011fx  R -297.88400 55482.11600 24.224    5.649 21.240     12.9    67.1 
SN2011fx  R -297.83900 55482.16100 25.844   24.491 21.268      2.9    65.4 
SN2011fx  R -294.78400 55485.21600 22.342    1.049 21.187     73.0    70.5 
SN2011fx  R -294.73700 55485.26300 22.507    0.800 21.646     62.7    46.2 
SN2011fx  R -280.88500 55499.11500 26.635   53.214 21.216      1.4    68.6 
SN2011fx  R -280.84200 55499.15800 80.525   -2.371 21.435    -25.7    56.1 
SN2011fx  R  107.25000 55887.25000 19.259    0.086 20.824   1248.3    98.5 
SN2011fx  R  423.11500 56203.11500 81.252   -2.137 20.820    -50.2    98.8 
SN2011fx  R  423.14400 56203.14400 22.516    1.957 20.683     62.2   112.1 
SN2011fx  R  423.16500 56203.16500 80.376   -4.179 20.968    -22.4    86.2 
SN2011fx  R  425.12000 56205.12000 80.253   -4.197 21.087    -20.0    77.3 
SN2011fx  R  425.16000 56205.16000 81.956   -0.735 21.275    -96.0    65.0 
SN2011fx  R  426.16800 56206.16800 81.845   -0.670 21.486    -86.7    53.5 
SN2011fx  R  426.20700 56206.20700 77.638  -43.802 21.155     -1.8    72.6 
SN2011fx  R  426.24200 56206.24200 77.440  -54.083 21.124     -1.5    74.7 
SN2011fx  R  444.21500 56224.21500 81.747   -1.523 20.693    -79.2   111.1 
SN2011fx  R  444.28400 56224.28400 21.651    0.649 21.017    137.9    82.4 
SN2011fx  R  452.40800 56232.40800 81.519   -1.270 21.118    -64.2    75.1 
SN2011fx  R  452.43900 56232.43900 19.890    0.327 19.999    698.1   210.5 
SN2011fx  R  453.32400 56233.32400 81.978   -0.634 21.414    -98.0    57.2 
SN2011fx  R  453.35300 56233.35300 81.672   -1.273 20.963    -73.9    86.6 
SN2011fx  R  455.27500 56235.27500 79.271  -11.731 20.952     -8.1    87.5 
SN2011fx  R  455.30500 56235.30500 22.071    0.783 21.232     93.7    67.6 
SN2011fx  R  457.20700 56237.20700 21.552    0.443 21.333    151.1    61.6 
SN2011fx  R  457.24100 56237.24100 80.030   -3.511 21.503    -16.3    52.7 
SN2011fx  R  459.17900 56239.17900 22.595    1.255 21.245     57.8    66.8 
SN2011fx  R  471.10500 56251.10500 82.131   -0.586 21.346   -112.8    60.9 
SN2011fx  R  471.13400 56251.13400 81.890   -0.682 21.421    -90.4    56.8 
SN2011fx  R  477.34400 56257.34400 23.197    5.463 20.250     33.2   167.0 
SN2011fx  R  478.16100 56258.16100 81.870   -1.271 20.767    -88.7   103.8 
SN2011fx  R  478.19300 56258.19300 82.318   -0.780 20.849   -134.0    96.2 
SN2011fx  R  485.30700 56265.30700 80.490   -7.397 20.234    -24.9   169.6 
SN2011fx  R  485.33700 56265.33700 23.471   28.661 18.724     25.8   680.9 
SN2011fx  R  487.15500 56267.15500 21.844    0.848 20.919    115.5    90.2 
SN2011fx  R  487.22800 56267.22800 81.183   -1.695 21.141    -47.1    73.5 
SN2011fx  R  491.15200 56271.15200 82.502   -0.630 20.897   -158.8    92.1 
SN2011fx  R  491.18200 56271.18200 80.819   -2.562 21.056    -33.7    79.5 
SN2011ht  R -344.51900 55465.48100 82.497   -0.953 20.452   -158.0   138.7 
SN2011ht  R -344.46800 55465.53200 21.284    1.251 19.938    193.3   222.7 
SN2011ht  R -313.55700 55496.44300 19.992    0.488 19.668    635.4   285.5 
SN2011ht  R -309.50900 55500.49100 80.602   -2.046 21.517    -27.6    52.0 
SN2011ht  R -309.46600 55500.53400 81.084   -1.412 21.439    -43.0    55.9 
SN2011ht  R -297.52500 55512.47500 20.260    0.195 20.931    496.8    89.2 
SN2011ht  R -297.48000 55512.52000 20.704    0.256 21.078    330.0    77.9 
SN2011ht  R -247.78600 55562.21400 19.618    0.150 20.572    897.2   124.2 
SN2011ht  R -243.73500 55566.26500 20.041    0.139 21.078    607.4    77.9 
SN2011hw  R -109.74700 55750.25300 19.476    0.125 20.627   1022.1   118.0 
SN2011hw  R -109.70400 55750.29600 19.803    0.146 20.792    756.3   101.4 
SN2011hw  R -103.59400 55756.40600 19.998    0.189 20.702    632.4   110.2 
SN2011hw  R -102.77400 55757.22600 20.822    0.640 20.203    295.9   174.4 
SN2011hw  R -102.70900 55757.29100 20.022    0.242 20.457    618.4   138.0 
SN2011hw  R  -99.73300 55760.26700 19.546    0.139 20.585    958.1   122.7 
SN2011hw  R  -99.68900 55760.31100 19.905    0.157 20.809    688.8    99.8 
SN2011hw  R  -96.77700 55763.22300 19.751    0.139 20.790    793.3   101.6 
SN2011hw  R  -96.73400 55763.26600 19.594    0.129 20.714    917.2   109.0 
SN2011hw  R  -95.78700 55764.21300 19.669    0.163 20.537    855.5   128.2 
